Date,Time,East Midlands,East of England,London,North East,North West & Merseyside,South East,South West,West Midlands,Yorkshire & Humberside
01/01/2017,01:00:00,16.82,17.34,46.57,20.85,16.54,27.57,12.34,18.19,23.41
01/01/2017,02:00:00,15.17,14.64,70.12,17.76,19.18,21.75,12.55,20.07,23.02
01/01/2017,03:00:00,12.21,15.73,55.73,11.24,16.77,20.12,10.23,18.71,30.62
01/01/2017,04:00:00,13.51,13.46,49.47,7.88,14.03,18.98,9.59,13.41,34.74
01/01/2017,05:00:00,13.62,11.35,52.06,6.4,13.27,15.24,6.21,12.89,21.7
01/01/2017,06:00:00,14.49,10.72,50.23,5.28,7.96,11.32,4.23,14.01,13.88
01/01/2017,07:00:00,16.06,11.99,45.17,5.85,7.5,14.65,6.98,13.52,9.59
01/01/2017,08:00:00,13.52,13.41,55.83,6.24,7.91,14.1,9.43,15,8.33
01/01/2017,09:00:00,13.74,13.2,74.14,6.25,8.79,18.13,6.65,16.6,10.9
01/01/2017,10:00:00,17.81,20.53,84.22,7.22,10.84,22,8.68,14.7,14.63
01/01/2017,11:00:00,24.07,24.66,75.85,10.67,16.21,26.81,10.92,18.46,18.55
01/01/2017,12:00:00,29.12,33.06,70.49,12.35,15.44,33.56,11.54,21.81,22.71
01/01/2017,13:00:00,37.4,24.88,68.1,13.81,16.98,32.87,16.1,23.24,26.19
01/01/2017,14:00:00,43.14,19.51,70.87,16.65,21.36,34.52,24.58,29.01,26.04
01/01/2017,15:00:00,51.37,23.33,52.16,12.29,23.02,27.26,17.57,26.63,28.55
01/01/2017,16:00:00,40.45,21.14,41.56,17.76,33.84,27.31,14.52,31.53,34.99
01/01/2017,17:00:00,42.75,18.29,40.41,19.82,33.73,25.43,18.27,31.86,36.83
01/01/2017,18:00:00,43.81,20.91,51.41,18.63,37.29,26.15,16.2,28.12,39.22
01/01/2017,19:00:00,33.74,21.76,49.84,19.31,38.56,21.44,14.19,26.62,38.14
01/01/2017,20:00:00,35.3,20.4,48.97,9.63,35.28,18.55,12.5,28.05,38.95
01/01/2017,21:00:00,33.17,19.15,50.51,12.58,36.34,16.82,13.24,31.36,34.67
01/01/2017,22:00:00,34.05,18.58,46.72,8.98,36.85,14.67,11.43,38.31,35.66
01/01/2017,23:00:00,25.36,17.62,42.01,7.65,24.48,15.06,10.03,39.2,23.63
01/01/2017,24:00:00,17.64,14.1,38.87,7.3,23.12,13.52,7.92,26.9,19.57
02/01/2017,01:00:00,16.29,11.17,32.18,8.9,20.95,11.39,7.53,17.8,16.09
02/01/2017,02:00:00,11.09,11.04,21.53,11.2,18.72,12.23,8.11,15.09,10
02/01/2017,03:00:00,17.13,9.31,18.15,7.36,14.73,10.36,7.03,17.83,8.78
02/01/2017,04:00:00,18.04,10.95,16.65,7.44,15.24,9.73,6.84,18.63,7.59
02/01/2017,05:00:00,19.61,13.49,19.58,8.12,16.66,11.27,8.57,20.49,9.78
02/01/2017,06:00:00,25.85,20.99,32.14,9.26,25.82,16.16,9.58,25.75,16
02/01/2017,07:00:00,22.98,27.21,41.95,12.16,45.89,21.78,15.41,35.66,24.79
02/01/2017,08:00:00,36.44,35.86,54.3,17.42,51.72,32.23,24.2,47.73,28.15
02/01/2017,09:00:00,44.75,34.45,66.52,25.08,72.19,37.15,27.69,44.86,32.5
02/01/2017,10:00:00,51.42,50.36,73.32,23.33,88.71,46.4,36.76,66.42,36.71
02/01/2017,11:00:00,60.33,46.33,73.44,25.4,93.78,50.41,38.17,82.31,38.57
02/01/2017,12:00:00,61.56,39.85,67.67,23.9,69.31,46.52,38.81,80.85,39.74
02/01/2017,13:00:00,58.06,45.29,77.7,23.63,50.66,50.12,43.12,84.1,37.63
02/01/2017,14:00:00,58.69,57.53,81.17,26.37,44.3,49.26,47.07,77.61,38.53
02/01/2017,15:00:00,60.96,57.09,99.28,28.85,45.77,57.4,51.51,81.01,54.12
02/01/2017,16:00:00,78.74,79.65,100.96,35.92,64.09,72.34,58.21,104.83,61.58
02/01/2017,17:00:00,119.25,100.83,137.18,33.43,94.38,101.52,72.69,137.59,70.36
02/01/2017,18:00:00,146.34,106.89,149.12,36.12,119.28,112.11,91.23,164.59,69.91
02/01/2017,19:00:00,102.78,109.55,138.03,33.32,126.86,101.89,83.31,146.86,70.46
02/01/2017,20:00:00,100.79,106.59,135.48,30.6,150.91,87.28,121.23,138.9,68.89
02/01/2017,21:00:00,111.51,101.68,151.93,26.99,171.75,91.55,136.65,119.5,56.84
02/01/2017,22:00:00,75.11,84.67,157.43,20.07,154.24,80.48,117.06,111.92,47.98
02/01/2017,23:00:00,73.09,76.06,180.35,15.1,132.91,72.75,115.19,95.99,39.23
02/01/2017,24:00:00,70.43,71.34,151.95,11.66,106.79,59.43,92.75,59.58,32.92
03/01/2017,01:00:00,58.65,69.16,138.76,10.72,77.19,59.31,97.77,48.83,27.94
03/01/2017,02:00:00,47.14,62.45,129.2,8.76,50.22,49.59,81.83,32.6,20.88
03/01/2017,03:00:00,35.57,60.65,112.66,7.67,32.83,42.53,67.83,26.47,19.02
03/01/2017,04:00:00,25.68,57.54,104.15,6.32,19.84,43.09,63.17,18.76,17.19
03/01/2017,05:00:00,28.42,66.44,96.12,6.6,12.22,53.13,53.55,22.77,18.34
03/01/2017,06:00:00,32.11,82.26,108.38,8.5,16.73,71.02,83.08,31.85,31.78
03/01/2017,07:00:00,48.23,96.24,141.95,14.09,24.94,143.78,134.77,52.29,45.38
03/01/2017,08:00:00,82.54,122.2,178.25,24.34,37.44,170.53,208.73,70.29,79.1
