Date,Time,East Midlands,East of England,London,North East,North West & Merseyside,South East,South West,West Midlands,Yorkshire & Humberside
01/01/2017,01:00:00,21.80,21.73,30.89,4.60,12.36,30.60,19.00,22.37,11.326
01/01/2017,02:00:00,9.33,19.40,25.97,2.94,7.41,22.51,14.95,15.75,9.906
01/01/2017,03:00:00,9.58,20.48,21.32,3.04,5.59,22.61,12.05,13.53,10.246
01/01/2017,04:00:00,12.40,20.65,20.43,2.68,3.08,22.24,7.95,14.27,8.026
01/01/2017,05:00:00,12.50,21.90,22.69,2.24,2.49,22.19,6.63,12.62,5.126
01/01/2017,06:00:00,11.20,20.75,23.00,1.22,-0.11,19.13,4.90,14.93,5.046
01/01/2017,07:00:00,9.38,23.75,22.47,3.02,0.91,18.16,6.73,13.12,1.566
01/01/2017,08:00:00,8.25,22.65,18.95,2.79,0.30,16.11,5.55,10.05,1.406
01/01/2017,09:00:00,4.68,20.40,18.82,3.70,0.11,13.71,4.30,6.47,2.006
01/01/2017,10:00:00,2.18,20.40,16.99,2.14,0.76,12.91,4.03,4.75,2.406
01/01/2017,11:00:00,2.43,17.93,13.07,1.99,0.90,9.49,3.88,2.25,2.806
01/01/2017,12:00:00,2.20,15.28,10.74,3.77,2.14,8.96,3.08,2.05,3.066
01/01/2017,13:00:00,2.68,8.43,8.82,3.28,3.46,6.95,3.18,3.87,3.906
01/01/2017,14:00:00,3.83,8.08,9.73,2.61,2.89,6.76,3.25,3.58,6.466
01/01/2017,15:00:00,3.85,8.85,6.02,1.55,3.05,7.12,4.78,3.93,5.546
01/01/2017,16:00:00,4.68,3.73,3.34,2.11,3.61,8.00,3.40,3.87,5.926
01/01/2017,17:00:00,5.55,4.13,2.53,3.73,5.36,12.73,4.43,4.83,5.726
01/01/2017,18:00:00,4.98,3.83,2.38,4.46,5.41,7.85,4.10,6.42,5.366
01/01/2017,19:00:00,4.90,4.70,3.08,2.67,8.34,4.60,5.13,5.70,6.346
01/01/2017,20:00:00,5.55,5.43,3.18,2.71,6.74,3.32,4.23,4.88,7.286
01/01/2017,21:00:00,4.80,6.63,4.42,5.77,6.41,3.63,4.50,6.37,7.166
01/01/2017,22:00:00,6.15,5.43,5.16,6.81,6.00,5.09,4.93,7.52,4.506
01/01/2017,23:00:00,5.50,4.95,5.33,6.35,5.60,3.89,5.50,9.35,2.366
01/01/2017,24:00:00,5.33,4.10,4.95,4.34,3.69,4.64,6.53,5.97,4.986
02/01/2017,01:00:00,3.58,4.55,4.44,4.78,3.28,4.89,4.23,3.00,3.646
02/01/2017,02:00:00,3.90,3.78,4.02,1.79,3.16,5.03,5.05,4.05,4.646
