date,North_East_Cases,North_East_Deaths,North_West_Cases,North_West_Deaths,Yorkshire_Cases,Yorkshire_Deaths,East_Midlands_Cases,East_Midlands_Deaths,West_Midlands_Cases,West_Midland_Deaths,East_of_England_Cases,East_of_England_Deaths,London_Cases,London_Deaths,South_East_Cases,South_East_Deaths,South_West_Cases,South_West_Deaths
31/12/2020,1741,20,4746,78,2495,43,2782,58,4986,59,7479,103,12404,143,9771,157,2686,36
30/12/2020,1957,24,3420,53,2057,38,2430,59,3432,79,6731,96,12830,136,8140,141,2217,27
29/12/2020,1230,24,4194,66,1886,60,2569,56,3993,54,7222,84,14875,111,8886,128,2190,32
28/12/2020,699,36,2551,76,1760,60,2269,31,2103,53,5799,89,12341,112,6590,126,2254,32
27/12/2020,583,33,2199,61,1184,58,996,52,1254,64,3367,68,9719,106,5012,138,1192,28
26/12/2020,805,35,1618,69,1336,55,1981,50,2551,66,5042,83,8516,97,7149,110,2083,26
25/12/2020,944,22,2218,62,1420,45,1887,48,2495,54,4931,81,9790,93,6324,127,1152,27
24/12/2020,1137,22,2812,74,1969,37,2109,36,2156,58,6078,75,10713,68,6910,105,1380,26
23/12/2020,941,28,2797,65,1850,51,1873,45,3602,54,5611,72,9873,76,5986,102,1318,24
22/12/2020,1253,31,2358,53,1612,49,1852,53,2283,58,4575,56,10201,89,6220,113,1550,30
21/12/2020,1108,19,2270,62,1535,49,1497,57,1854,55,4052,71,9458,59,5522,105,1224,29
20/12/2020,586,30,1945,49,1141,46,1654,48,2448,45,4646,61,11577,51,7120,96,860,25
19/12/2020,531,33,1703,60,1114,43,1157,37,1740,50,3521,64,6931,48,4766,88,1103,32
18/12/2020,515,37,1530,57,1030,57,1935,66,1728,63,4157,55,7378,53,5015,68,938,20
17/12/2020,590,24,1848,45,1120,57,1394,54,1752,60,3879,45,5762,60,4744,85,1135,32
16/12/2020,801,15,2164,54,1368,42,1348,43,1929,52,3345,41,6777,35,4397,79,1131,23
15/12/2020,460,24,1576,52,1161,54,1196,40,1573,47,2294,41,4238,46,3122,70,793,34
14/12/2020,509,28,1084,70,1009,47,1184,61,1233,53,2850,39,5322,39,3798,59,806,27
13/12/2020,572,20,1490,51,1236,57,1288,46,1777,59,2091,36,4166,32,3461,74,972,29
12/12/2020,771,24,1791,69,1248,50,1315,54,1509,53,2147,31,4283,46,3477,58,883,23
11/12/2020,689,21,1576,47,1307,63,1528,55,1629,56,2411,51,4755,29,3241,70,617,31
10/12/2020,791,27,1499,60,1253,54,1610,44,1649,56,2389,39,4144,32,3445,61,700,34
09/12/2020,687,18,1734,54,1267,59,994,51,1381,50,1420,36,2550,31,2241,58,594,25
08/12/2020,406,22,1154,66,837,55,887,36,1065,64,1341,29,2203,39,1944,63,526,25
07/12/2020,466,27,1151,63,997,56,1028,50,1334,55,1329,26,2460,37,2169,37,622,28
06/12/2020,542,17,1518,59,1262,63,1265,48,1581,57,1516,28,3198,29,2597,43,708,18
05/12/2020,586,27,1636,53,1116,46,1323,41,1311,50,1394,29,2376,30,2099,44,701,26
04/12/2020,698,18,1374,65,1360,78,1284,54,1461,59,1290,28,2823,32,2299,56,749,30
03/12/2020,652,22,1406,70,1520,69,1092,53,1356,57,1185,26,2081,33,1932,57,611,24
02/12/2020,590,23,1719,55,1347,65,1275,45,1495,41,1321,22,2614,29,2210,39,649,26
01/12/2020,638,17,1689,71,1237,38,1075,54,1435,54,930,32,1964,21,1876,49,687,23
30/11/2020,528,27,802,65,1119,56,1027,47,1718,67,1091,27,2069,27,1895,35,534,30
29/11/2020,598,30,1346,65,1181,56,898,52,1169,73,974,18,1639,52,1568,45,615,31
28/11/2020,752,24,1669,64,1663,65,1331,56,1677,54,1074,30,2260,29,1918,35,879,31
27/11/2020,805,23,1789,68,1424,67,1237,59,1718,50,949,24,1800,27,1800,40,708,28
26/11/2020,900,30,1861,58,1805,64,1530,53,2237,62,1108,19,2085,28,2045,45,955,17
25/11/2020,876,29,2097,89,1984,66,1540,52,2424,52,1187,31,2503,37,2364,51,840,28
24/11/2020,598,38,1469,81,1335,82,878,47,1244,57,914,23,1409,32,1214,31,668,31
23/11/2020,732,35,1573,78,1667,83,1457,50,2020,58,984,24,2075,21,1999,57,761,20
22/11/2020,837,32,1994,73,1748,71,1648,58,2465,53,1455,25,2979,35,2450,38,1017,37
21/11/2020,1106,32,2134,87,2220,79,2322,46,2738,55,1195,25,2547,22,2273,32,939,37
20/11/2020,1439,36,2886,76,2711,71,1530,44,3038,64,1150,22,1908,28,1707,30,1333,35
19/11/2020,1290,31,2673,81,3025,80,1807,52,3233,56,1504,23,2540,27,2527,36,1538,21
18/11/2020,1556,34,3120,101,2907,86,1641,59,2006,55,890,21,2023,22,1784,44,1190,23
17/11/2020,1276,29,2446,84,2540,56,1982,44,2639,52,1133,19,2102,33,2026,32,1259,27
16/11/2020,3365,25,4580,80,3595,53,3344,47,3455,50,0,17,674,33,95,31,1963,22
15/11/2020,1483,27,3105,91,3306,78,2468,45,3125,54,1412,9,2643,18,2652,31,1655,18
14/11/2020,1619,36,3699,83,3332,69,2188,50,2990,47,1217,24,2588,19,3110,30,3368,9
13/11/2020,1883,29,4365,101,3832,66,2383,42,3150,36,1650,19,2917,14,2644,30,1544,13
12/11/2020,2086,21,5122,93,4583,73,3428,47,4348,44,1988,18,3929,22,3306,23,1843,16
11/11/2020,1671,21,3840,87,3163,64,1598,27,2700,49,1313,23,2053,12,2211,22,1281,16
10/11/2020,1303,23,3388,85,3001,67,2710,34,2788,43,1002,23,1501,15,1693,25,1125,10
09/11/2020,1340,34,2796,86,2804,93,2351,51,2983,40,1197,26,2088,24,2065,33,1261,17
08/11/2020,1506,20,3077,94,3731,69,2175,43,2365,38,987,20,1804,21,1499,24,1016,19
07/11/2020,1391,31,4520,93,4014,78,2157,31,2638,46,1224,16,2352,24,2079,19,1293,12
06/11/2020,1453,27,3689,98,3592,74,2113,30,2872,37,1007,22,1948,13,1913,21,1510,17
05/11/2020,1570,23,4594,80,4084,57,2172,28,2380,40,1056,21,2083,19,1770,17,1215,14
04/11/2020,1272,23,5020,85,3617,47,1875,41,3256,36,1131,13,2307,15,1834,17,1429,6
03/11/2020,1302,19,3915,96,2994,73,1695,28,2152,28,781,16,1575,15,1442,19,1264,10
02/11/2020,1039,16,3246,78,2906,45,1542,37,1726,35,867,14,1739,20,1625,19,1084,14
01/11/2020,1170,26,4045,83,3800,47,2310,36,3255,27,936,19,2056,18,1614,21,1248,7
31/10/2020,1163,19,4587,84,3638,54,2231,28,1793,33,864,18,1568,7,1396,24,1407,11
30/10/2020,1054,25,5080,97,3425,49,2015,31,2366,30,1165,18,2431,13,1894,10,1228,11
29/10/2020,1136,18,5032,88,3387,39,2060,23,2357,25,1044,18,1933,15,1424,11,1171,15
28/10/2020,1021,25,4991,73,3765,34,1906,29,2576,11,1099,15,2477,19,1877,14,1328,7
27/10/2020,1162,19,5322,72,3565,42,1835,25,2228,25,797,12,1999,14,1442,6,1112,11
26/10/2020,970,22,4724,69,3000,38,1928,21,2170,24,796,10,1807,11,1341,15,992,9
25/10/2020,1048,17,4293,75,2380,34,1756,22,1439,17,948,13,1791,10,1336,12,1339,5
24/10/2020,1150,14,4603,57,3261,31,2134,21,2052,10,960,6,2221,18,1562,11,1167,7
23/10/2020,1277,15,3956,61,2745,33,1793,20,2180,20,846,16,1718,5,1248,7,1121,5
22/10/2020,1393,21,4531,55,2861,26,1850,29,1694,20,974,9,1646,11,1189,10,989,6
21/10/2020,1888,19,5468,67,4129,40,1949,10,2427,14,1349,12,2862,13,1709,14,980,7
20/10/2020,1438,19,5037,57,3189,36,1935,17,1775,16,747,11,1480,7,990,10,1005,2
19/10/2020,707,20,5217,51,2699,34,1952,10,1383,12,719,6,1945,9,1051,10,523,3
18/10/2020,555,14,4335,51,2897,20,1510,7,1382,7,821,6,1646,6,859,5,549,7
17/10/2020,1101,15,4005,60,2127,33,1234,17,1120,19,628,8,1166,4,941,6,800,7
16/10/2020,1178,15,3324,51,1755,20,658,10,1696,11,577,6,1394,7,814,3,577,3
15/10/2020,1333,16,4252,41,2515,14,1999,14,1240,12,921,5,1843,13,1083,6,742,2
14/10/2020,1228,16,3732,36,2717,16,1876,8,1804,10,844,2,1722,7,1166,5,897,3
13/10/2020,1045,13,4510,32,2230,11,1541,12,1086,10,657,2,1441,4,920,6,764,3
12/10/2020,1150,12,3981,40,1953,15,1340,6,938,4,381,2,801,4,610,7,386,4
11/10/2020,967,16,3519,38,2003,13,1141,8,946,13,318,4,637,4,420,5,341,5
10/10/2020,1151,15,3672,36,2289,15,1177,4,1096,3,547,6,1174,4,752,4,548,1
09/10/2020,1087,10,2471,34,1160,13,1397,6,805,2,667,2,1457,9,933,3,644,2
08/10/2020,1274,14,4448,25,2347,10,1853,2,1098,13,807,3,1252,6,991,5,768,2
07/10/2020,1057,10,3555,30,1655,16,931,4,928,8,618,8,1310,7,849,4,520,1
06/10/2020,1233,10,4441,27,2437,10,888,4,1059,7,492,4,916,5,659,1,401,1
05/10/2020,1113,6,3166,22,2194,10,712,2,906,3,369,1,989,9,660,1,484,0
04/10/2020,2629,11,6742,19,3606,6,1935,3,1644,9,827,1,1965,2,1121,2,671,3
03/10/2020,906,7,3539,22,1759,7,800,7,1039,4,382,1,1070,4,552,2,389,1
02/10/2020,421,18,1603,26,718,8,389,1,408,7,225,1,497,2,272,5,193,1
01/10/2020,363,5,2031,20,823,6,428,2,606,8,275,3,551,5,268,6,169,1
