date,London,South_East,South_West,East_of_England,Midlands,North East & Yorkshire,North West
31/12/2020,708,404,140,340,435,300,209
30/12/2020,681,552,220,332,487,311,278
29/12/2020,679,504,148,373,562,363,257
28/12/2020,739,423,163,393,506,309,262
27/12/2020,629,515,113,382,401,298,234
26/12/2020,607,421,114,254,429,282,191
25/12/2020,578,329,101,242,281,234,187
24/12/2020,492,327,91,243,294,192,156
23/12/2020,511,321,103,264,314,250,217
22/12/2020,508,368,130,308,364,294,231
21/12/2020,505,354,112,259,398,272,215
20/12/2020,413,347,106,269,364,256,221
19/12/2020,404,379,91,233,270,248,187
18/12/2020,357,300,90,192,287,230,216
17/12/2020,366,309,133,245,369,231,220
16/12/2020,252,337,105,235,385,260,222
15/12/2020,332,271,112,198,368,271,178
14/12/2020,292,249,125,274,329,301,176
13/12/2020,287,258,118,159,304,256,199
12/12/2020,246,262,103,183,357,249,187
11/12/2020,277,235,103,134,324,238,139
10/12/2020,235,259,104,136,376,214,200
09/12/2020,248,232,131,163,319,248,209
08/12/2020,203,203,85,211,360,248,218
07/12/2020,210,204,114,167,303,256,212
06/12/2020,179,195,92,114,323,226,182
05/12/2020,141,187,83,115,262,239,159
04/12/2020,170,175,69,106,356,198,174
03/12/2020,156,208,87,124,344,246,172
02/12/2020,162,179,97,109,328,231,156
01/12/2020,160,134,78,122,323,241,213
30/11/2020,146,152,84,130,284,242,178
29/11/2020,154,164,94,87,277,246,193
28/11/2020,107,147,100,87,253,220,151
27/11/2020,124,124,87,64,232,236,188
26/11/2020,155,136,101,85,270,263,188
25/11/2020,200,166,121,99,349,264,216
24/11/2020,131,148,103,103,333,275,184
23/11/2020,147,158,122,96,372,309,181
22/11/2020,145,144,117,131,305,275,216
21/11/2020,165,174,103,73,275,280,185
20/11/2020,116,145,95,105,325,350,180
19/11/2020,173,201,94,93,352,345,226
18/11/2020,179,164,127,109,381,362,249
17/11/2020,152,141,127,100,358,335,278
16/11/2020,154,139,105,82,391,402,287
15/11/2020,170,130,120,109,330,376,232
14/11/2020,139,132,105,87,346,355,224
13/11/2020,136,97,129,83,372,381,235
12/11/2020,152,181,170,127,368,362,306
11/11/2020,134,149,135,102,437,440,314
10/11/2020,147,110,79,103,392,464,297
09/11/2020,136,137,109,103,397,407,262
08/11/2020,150,137,111,70,362,360,298
07/11/2020,109,150,110,58,300,337,255
06/11/2020,101,107,103,61,279,324,207
05/11/2020,118,140,105,67,324,345,247
04/11/2020,123,109,102,87,298,351,312
03/11/2020,103,81,86,76,261,362,277
02/11/2020,136,115,91,55,284,362,288
01/11/2020,134,88,76,67,274,348,293
31/10/2020,132,98,99,56,250,325,280
30/10/2020,126,84,80,67,234,262,256
29/10/2020,140,103,69,68,288,337,340
28/10/2020,112,81,69,68,229,357,323
27/10/2020,109,84,63,51,268,301,314
26/10/2020,155,86,88,55,278,323,294
25/10/2020,118,67,64,62,220,320,335
24/10/2020,108,65,46,42,174,277,278
23/10/2020,125,70,36,56,181,254,275
22/10/2020,108,77,36,51,230,242,243
